nom,date,national_cumulative_confirmed_deaths
Ubundu,2026-05-27,17
Kailo,2026-05-27,17
Ototo,2026-05-27,17
Tshumbe,2026-05-27,17
Lusangi,2026-05-27,17
Bobozo,2026-05-27,17
Punia,2026-05-27,17
Kyondo,2026-05-27,17
Mabalako,2026-05-27,17
Biena,2026-05-27,17
Masereka,2026-05-27,17
Lubero,2026-05-27,17
Manguredjipa,2026-05-27,17
Mutwanga,2026-05-27,17
Kamango,2026-05-27,17
Oicha,2026-05-27,17
Binza,2026-05-27,17
Rwanguba,2026-05-27,17
Rutshuru,2026-05-27,17
Birambizo,2026-05-27,17
Beni,2026-05-27,17
Vuhovi,2026-05-27,17
Musienene,2026-05-27,17
Butembo,2026-05-27,17
Katwa,2026-05-27,17
Kayna,2026-05-27,17
Goma,2026-05-27,17
Karisimbi,2026-05-27,17
Kibua,2026-05-27,17
Masisi,2026-05-27,17
Mweso,2026-05-27,17
Kirotshe,2026-05-27,17
Pinga,2026-05-27,17
Walikale,2026-05-27,17
Kibirizi,2026-05-27,17
Kalunguta,2026-05-27,17
Alimbongo,2026-05-27,17
Nyiragongo,2026-05-27,17
Katoyi,2026-05-27,17
Bambo,2026-05-27,17
Itebero,2026-05-27,17
Mwana,2026-05-27,17
Kaziba,2026-05-27,17
Nyantende,2026-05-27,17
Nyangezi,2026-05-27,17
Kabare,2026-05-27,17
Mubumbano,2026-05-27,17
Walungu,2026-05-27,17
Hauts-Plateaux,2026-05-27,17
Kaniola,2026-05-27,17
Kalonge,2026-05-27,17
Bunyakiri,2026-05-27,17
Uvira,2026-05-27,17
Kitutu,2026-05-27,17
Kamituga,2026-05-27,17
Itombwe,2026-05-27,17
Minembwe,2026-05-27,17
Nundu,2026-05-27,17
Ruzizi,2026-05-27,17
Lemera,2026-05-27,17
Fizi,2026-05-27,17
Shabunda,2026-05-27,17
Lulingu,2026-05-27,17
Kalole,2026-05-27,17
Mwenga,2026-05-27,17
Mulungu,2026-05-27,17
Bagira,2026-05-27,17
Kadutu,2026-05-27,17
Ibanda,2026-05-27,17
Katana,2026-05-27,17
Lualaba,2026-05-27,17
Kafakumba,2026-05-27,17
Kanzenze,2026-05-27,17
Kasaji,2026-05-27,17
Dilolo,2026-05-27,17
Sandoa,2026-05-27,17
Kalamba,2026-05-27,17
Lubudi,2026-05-27,17
Bunkeya,2026-05-27,17
Fungurume,2026-05-27,17
Kambove,2026-05-27,17
Lubumbashi,2026-05-27,17
Kisanga,2026-05-27,17
Katuba,2026-05-27,17
Mumbunda,2026-05-27,17
Kipushi,2026-05-27,17
Sakania,2026-05-27,17
Kafubu,2026-05-27,17
Kilela Balanda,2026-05-27,17
Manika,2026-05-27,17
Vangu,2026-05-27,17
Kowe,2026-05-27,17
Mitwaba,2026-05-27,17
Gombe,2026-05-27,17
Minova,2026-05-27,17
Kalehe,2026-05-27,17
Miti-Murhesa,2026-05-27,17
Idjwi,2026-05-27,17
Aba,2026-05-27,17
Masina II,2026-05-27,17
Kapanga,2026-05-27,17
Dilala,2026-05-27,17
Mutshatsha,2026-05-27,17
Kikula,2026-05-27,17
Kimbi Lulenge,2026-05-27,17
Ferekeni,2026-05-27,17
Wapinda,2026-05-27,17
Likasi,2026-05-27,17
Kasenga,2026-05-27,17
Ntandembelo,2026-05-27,17
Yumbi,2026-05-27,17
Tshudi Loto,2026-05-27,17
Kiri,2026-05-27,17
Bosanga,2026-05-27,17
Yalifafo,2026-05-27,17
Dekese,2026-05-27,17
Mimia,2026-05-27,17
Makanza,2026-05-27,17
Bomongo,2026-05-27,17
Lolanga Mampoko,2026-05-27,17
Penjwa,2026-05-27,17
Bokungu,2026-05-27,17
Wema,2026-05-27,17
