nom,date,national_cumulative_suspected_cases
Ndjoko-Mpunda,5/27/26,906
Lubondaie,5/27/26,906
Kakenge,5/27/26,906
Rwampara,5/27/26,906
Bunia,5/27/26,906
Jiba,5/27/26,906
Linga,5/27/26,906
Mangala,5/27/26,906
Damas,5/27/26,906
Fataki,5/27/26,906
Drodro,5/27/26,906
Tchomia,5/27/26,906
Rethy,5/27/26,906
Nyakunde,5/27/26,906
Nizi,5/27/26,906
Bambu,5/27/26,906
Kilo,5/27/26,906
Mongbalu,5/27/26,906
Komanda,5/27/26,906
Gethy,5/27/26,906
Boga,5/27/26,906
Nia-Nia,5/27/26,906
Mandima,5/27/26,906
Lolwa,5/27/26,906
Lita,5/27/26,906
Boma-Mangbetu,5/27/26,906
Isiro,5/27/26,906
Wamba,5/27/26,906
Doruma,5/27/26,906
Pawa,5/27/26,906
Niangara,5/27/26,906
Rungu,5/27/26,906
Mambasa,5/27/26,906
Rimba,5/27/26,906
Logo,5/27/26,906
Angumu,5/27/26,906
Nyarambe,5/27/26,906
Mahagi,5/27/26,906
Makoro,5/27/26,906
Kambala,5/27/26,906
Biringi,5/27/26,906
Laybo,5/27/26,906
Ariwara,5/27/26,906
Adi,5/27/26,906
Aru,5/27/26,906
Adja,5/27/26,906
Aungba,5/27/26,906
Faradje,5/27/26,906
Gombari,5/27/26,906
Dungu,5/27/26,906
Watsa,5/27/26,906
Demba,5/27/26,906
Mutoto,5/27/26,906
Lubunga (Kasaï-Central),5/27/26,906
Kananga,5/27/26,906
Maluku II,5/27/26,906
Nselo,5/27/26,906
Lomela,5/27/26,906
Nioki,5/27/26,906
Bolobo,5/27/26,906
Mushie,5/27/26,906
Kwamouth,5/27/26,906
Mokala,5/27/26,906
Kisanji,5/27/26,906
Lukonga,5/27/26,906
Tunda,5/27/26,906
Bosobolo,5/27/26,906
Businga,5/27/26,906
Boto,5/27/26,906
Lisala,5/27/26,906
Ndage,5/27/26,906
Mwela Lembwa,5/27/26,906
Kingabwa,5/27/26,906
Likati,5/27/26,906
Yahuma,5/27/26,906
Ikela,5/27/26,906
Lubunga (Tshopo),5/27/26,906
Ubundu,5/27/26,906
Kailo,5/27/26,906
Ototo,5/27/26,906
Tshumbe,5/27/26,906
Lusangi,5/27/26,906
Bobozo,5/27/26,906
Punia,5/27/26,906
Kyondo,5/27/26,906
