nom,date,national_cumulative_confirmed_cases
Mokala,14/05/2026,8
Kisanji,14/05/2026,8
Lukonga,14/05/2026,8
Tunda,14/05/2026,8
Bosobolo,14/05/2026,8
Businga,14/05/2026,8
Boto,14/05/2026,8
Lisala,14/05/2026,8
Ndage,14/05/2026,8
Mwela Lembwa,14/05/2026,8
Kingabwa,14/05/2026,8
Likati,14/05/2026,8
Yahuma,14/05/2026,8
Ikela,14/05/2026,8
Lubunga (Tshopo),14/05/2026,8
Ubundu,14/05/2026,8
Kailo,14/05/2026,8
Ototo,14/05/2026,8
Tshumbe,14/05/2026,8
Lusangi,14/05/2026,8
Bobozo,14/05/2026,8
Punia,14/05/2026,8
Kyondo,14/05/2026,8
Mabalako,14/05/2026,8
Biena,14/05/2026,8
Masereka,14/05/2026,8
Lubero,14/05/2026,8
Manguredjipa,14/05/2026,8
Mutwanga,14/05/2026,8
Kamango,14/05/2026,8
Oicha,14/05/2026,8
Binza,14/05/2026,8
Rwanguba,14/05/2026,8
Rutshuru,14/05/2026,8
Birambizo,14/05/2026,8
Beni,14/05/2026,8
Vuhovi,14/05/2026,8
Musienene,14/05/2026,8
Butembo,14/05/2026,8
Katwa,14/05/2026,8
Kayna,14/05/2026,8
Goma,14/05/2026,8
Karisimbi,14/05/2026,8
Kibua,14/05/2026,8
Masisi,14/05/2026,8
Mweso,14/05/2026,8
Kirotshe,14/05/2026,8
Pinga,14/05/2026,8
Walikale,14/05/2026,8
Kibirizi,14/05/2026,8
Kalunguta,14/05/2026,8
Alimbongo,14/05/2026,8
Nyiragongo,14/05/2026,8
Katoyi,14/05/2026,8
Bambo,14/05/2026,8
Itebero,14/05/2026,8
Mwana,14/05/2026,8
Kaziba,14/05/2026,8
Nyantende,14/05/2026,8
Nyangezi,14/05/2026,8
Kabare,14/05/2026,8
Mubumbano,14/05/2026,8
Walungu,14/05/2026,8
Hauts-Plateaux,14/05/2026,8
Kaniola,14/05/2026,8
Kalonge,14/05/2026,8
Bunyakiri,14/05/2026,8
Uvira,14/05/2026,8
Kitutu,14/05/2026,8
Kamituga,14/05/2026,8
Itombwe,14/05/2026,8
Minembwe,14/05/2026,8
Nundu,14/05/2026,8
Ruzizi,14/05/2026,8
Lemera,14/05/2026,8
Fizi,14/05/2026,8
Shabunda,14/05/2026,8
Lulingu,14/05/2026,8
Kalole,14/05/2026,8
Mwenga,14/05/2026,8
Mulungu,14/05/2026,8
Bagira,14/05/2026,8
Kadutu,14/05/2026,8
Ibanda,14/05/2026,8
Katana,14/05/2026,8
Lualaba,14/05/2026,8
Kafakumba,14/05/2026,8
Kanzenze,14/05/2026,8
Kasaji,14/05/2026,8
Dilolo,14/05/2026,8
Sandoa,14/05/2026,8
Kalamba,14/05/2026,8
Lubudi,14/05/2026,8
Bunkeya,14/05/2026,8
Fungurume,14/05/2026,8
Kambove,14/05/2026,8
Lubumbashi,14/05/2026,8
Kisanga,14/05/2026,8
Katuba,14/05/2026,8
Mumbunda,14/05/2026,8
Kipushi,14/05/2026,8
Sakania,14/05/2026,8
Kafubu,14/05/2026,8
Kilela Balanda,14/05/2026,8
Manika,14/05/2026,8
Vangu,14/05/2026,8
Kowe,14/05/2026,8
Mitwaba,14/05/2026,8
Gombe,14/05/2026,8
Minova,14/05/2026,8
Kalehe,14/05/2026,8
Miti-Murhesa,14/05/2026,8
Idjwi,14/05/2026,8
Aba,14/05/2026,8
Masina II,14/05/2026,8
Kapanga,14/05/2026,8
Dilala,14/05/2026,8
Mutshatsha,14/05/2026,8
Kikula,14/05/2026,8
Kimbi Lulenge,14/05/2026,8
Ferekeni,14/05/2026,8
Wapinda,14/05/2026,8
Likasi,14/05/2026,8
Kasenga,14/05/2026,8
Ntandembelo,14/05/2026,8
Yumbi,14/05/2026,8
Tshudi Loto,14/05/2026,8
Kiri,14/05/2026,8
Bosanga,14/05/2026,8
