nom,date,national_cumulative_suspected_deaths
Kamango,5/27/26,223
Oicha,5/27/26,223
Binza,5/27/26,223
Rwanguba,5/27/26,223
Rutshuru,5/27/26,223
Birambizo,5/27/26,223
Beni,5/27/26,223
Vuhovi,5/27/26,223
Musienene,5/27/26,223
Butembo,5/27/26,223
Katwa,5/27/26,223
Kayna,5/27/26,223
Goma,5/27/26,223
Karisimbi,5/27/26,223
Kibua,5/27/26,223
Masisi,5/27/26,223
Mweso,5/27/26,223
Kirotshe,5/27/26,223
Pinga,5/27/26,223
Walikale,5/27/26,223
Kibirizi,5/27/26,223
Kalunguta,5/27/26,223
Alimbongo,5/27/26,223
Nyiragongo,5/27/26,223
Katoyi,5/27/26,223
Bambo,5/27/26,223
Itebero,5/27/26,223
Mwana,5/27/26,223
Kaziba,5/27/26,223
Nyantende,5/27/26,223
Nyangezi,5/27/26,223
Kabare,5/27/26,223
Mubumbano,5/27/26,223
Walungu,5/27/26,223
Hauts-Plateaux,5/27/26,223
Kaniola,5/27/26,223
Kalonge,5/27/26,223
Bunyakiri,5/27/26,223
Uvira,5/27/26,223
Kitutu,5/27/26,223
Kamituga,5/27/26,223
Itombwe,5/27/26,223
Minembwe,5/27/26,223
Nundu,5/27/26,223
Ruzizi,5/27/26,223
Lemera,5/27/26,223
Fizi,5/27/26,223
Shabunda,5/27/26,223
Lulingu,5/27/26,223
Kalole,5/27/26,223
Mwenga,5/27/26,223
Mulungu,5/27/26,223
Bagira,5/27/26,223
Kadutu,5/27/26,223
Ibanda,5/27/26,223
Katana,5/27/26,223
Lualaba,5/27/26,223
Kafakumba,5/27/26,223
Kanzenze,5/27/26,223
Kasaji,5/27/26,223
Dilolo,5/27/26,223
Sandoa,5/27/26,223
Kalamba,5/27/26,223
Lubudi,5/27/26,223
Bunkeya,5/27/26,223
Fungurume,5/27/26,223
Kambove,5/27/26,223
Lubumbashi,5/27/26,223
Kisanga,5/27/26,223
Katuba,5/27/26,223
Mumbunda,5/27/26,223
Kipushi,5/27/26,223
Sakania,5/27/26,223
Kafubu,5/27/26,223
Kilela Balanda,5/27/26,223
Manika,5/27/26,223
Vangu,5/27/26,223
Kowe,5/27/26,223
Mitwaba,5/27/26,223
Gombe,5/27/26,223
Minova,5/27/26,223
Kalehe,5/27/26,223
Miti-Murhesa,5/27/26,223
Idjwi,5/27/26,223
Aba,5/27/26,223
Masina II,5/27/26,223
Kapanga,5/27/26,223
Dilala,5/27/26,223
Mutshatsha,5/27/26,223
Kikula,5/27/26,223
Kimbi Lulenge,5/27/26,223
Ferekeni,5/27/26,223
Wapinda,5/27/26,223
Likasi,5/27/26,223
Kasenga,5/27/26,223
Ntandembelo,5/27/26,223
Yumbi,5/27/26,223
Tshudi Loto,5/27/26,223
Kiri,5/27/26,223
Bosanga,5/27/26,223
Yalifafo,5/27/26,223
Dekese,5/27/26,223
Mimia,5/27/26,223
Makanza,5/27/26,223
Bomongo,5/27/26,223
Lolanga Mampoko,5/27/26,223
Penjwa,5/27/26,223
Bokungu,5/27/26,223
Wema,5/27/26,223
Befale,5/27/26,223
Lotumbe,5/27/26,223
Monkoto,5/27/26,223
Djombo,5/27/26,223
Bongandanga,5/27/26,223
Lingomo,5/27/26,223
Basankusu,5/27/26,223
Boende,5/27/26,223
Mompono,5/27/26,223
Monieka,5/27/26,223
Banjow Moke,5/27/26,223
Inongo,5/27/26,223
Wangata,5/27/26,223
Bolenge,5/27/26,223
Bolomba,5/27/26,223
Ingende,5/27/26,223
Iboko,5/27/26,223
Irebu,5/27/26,223
Mbandaka,5/27/26,223
Lukolela,5/27/26,223
Bikoro,5/27/26,223
Ntondo,5/27/26,223
Lilanga Bobangi,5/27/26,223
