,nom,pop_count
326,Pawa,269053.123007754
327,Niangara,182939.987300613
328,Rungu,193018.131918563
329,Mambasa,164108.837667904
330,Rimba,174926.426294608
331,Logo,154126.408756288
332,Angumu,103600.036563383
333,Nyarambe,247247.435713325
334,Mahagi,339666.688209828
335,Makoro,197226.034270983
336,Kambala,132027.951722151
337,Biringi,141867.549039603
338,Laybo,183193.774662491
339,Ariwara,301519.966413989
340,Adi,291035.785791474
341,Aru,307811.078212426
342,Adja,171376.822088468
343,Aungba,229697.113678743
344,Faradje,199096.742045693
345,Gombari,137969.108489775
346,Dungu,305065.195511202
347,Watsa,487954.432936186
348,Demba,328690.969131913
349,Mutoto,104766.793363566
350,Lubunga (Kasaï-Central),109875.356514084
351,Kananga,173049.0571195
352,Maluku II,378500.606644883
353,Nselo,139724.543624633
354,Lomela,136051.235455424
355,Nioki,334534.030270414
356,Bolobo,185526.151062423
357,Mushie,255062.306149774
358,Kwamouth,196222.523342123
359,Mokala,241198.015087537
360,Kisanji,113695.909582037
361,Lukonga,246411.354440065
362,Tunda,58638.137139475
363,Bosobolo,199871.118622424
364,Businga,122843.262574037
365,Boto,146310.683663456
366,Lisala,390628.703968486
367,Ndage,118017.032898699
368,Mwela Lembwa,230919.098998044
369,Kingabwa,215933.259804812
370,Likati,165900.72340244
371,Yahuma,249941.969982795
372,Ikela,152490.706056533
373,Lubunga (Tshopo),63373.9762923239
374,Ubundu,184612.854220341
375,Kailo,178737.614336346
376,Ototo,94736.2205803019
377,Tshumbe,69627.4925508827
378,Lusangi,143683.266536544
379,Bobozo,3526.47648268346
380,Punia,172947.928544347
381,Kyondo,493964.453628927
382,Mabalako,253372.995369281
383,Biena,98064.8838439217
384,Masereka,145641.608069166
385,Lubero,272813.651980564
386,Manguredjipa,60156.0444618212
387,Mutwanga,274930.598225053
388,Kamango,66514.4386532936
389,Oicha,276790.834582475
390,Binza,191411.539609914
391,Rwanguba,232369.762758775
392,Rutshuru,433911.555150678
393,Birambizo,122261.500524023
394,Beni,231983.621971746
395,Vuhovi,256878.395967638
396,Musienene,234679.54867584
397,Butembo,286962.297965676
398,Katwa,621980.784378354
399,Kayna,428885.928286795
400,Goma,277156.422195523
401,Karisimbi,583593.619115281
402,Kibua,135300.26362094
403,Masisi,295996.97837072
404,Mweso,365121.80812694
405,Kirotshe,510671.445281615
406,Pinga,65296.5435895845
407,Walikale,140009.160299831
408,Kibirizi,234392.535156694
409,Kalunguta,254340.108619543
410,Alimbongo,326610.564153728
411,Nyiragongo,66888.526966868
412,Katoyi,234381.76901743
413,Bambo,152279.444147167
414,Itebero,103324.522682847
415,Mwana,226018.997807206
416,Kaziba,86965.2505889724
417,Nyantende,110186.104976612
418,Nyangezi,125719.441631677
419,Kabare,320337.31251276
420,Mubumbano,285896.153995202
421,Walungu,487704.680583727
422,Hauts-Plateaux,188187.663179278
423,Kaniola,62849.264045154
424,Kalonge,140507.184337312
425,Bunyakiri,77608.060176272
426,Uvira,468546.287490884
427,Kitutu,128587.296663139
428,Kamituga,176229.884553975
429,Itombwe,118705.68013149
430,Minembwe,46791.4979454047
431,Nundu,125865.896836949
432,Ruzizi,223134.998367451
433,Lemera,190565.411056817
434,Fizi,620550.290623681
435,Shabunda,242191.42015812
436,Lulingu,122711.776925984
437,Kalole,177354.554809972
438,Mwenga,123616.73775844
439,Mulungu,125426.919484595
440,Bagira,243663.537565554
441,Kadutu,283737.70562818
442,Ibanda,429737.923040444
443,Katana,246937.021015243
444,Lualaba,1058500.89338951
445,Kafakumba,106384.283924618
446,Kanzenze,17337.4936421026
447,Kasaji,248381.638950497
448,Dilolo,186853.280085171
449,Sandoa,209359.447307281
450,Kalamba,106698.37949993
451,Lubudi,108618.838423482
452,Bunkeya,62923.6335917863
453,Fungurume,399238.600002836
454,Kambove,314169.930240317
455,Lubumbashi,1880027.33681427
456,Kisanga,5645.84134026415
457,Katuba,3858.02335114843
458,Mumbunda,12214.2186411984
459,Kipushi,374051.510227607
460,Sakania,358562.745022433
461,Kafubu,90562.9666492356
462,Kilela Balanda,25951.8300206481
463,Manika,17629.7468590093
464,Vangu,1266.6731997932
465,Kowe,5019.84421206428
466,Mitwaba,132172.888916222
467,Gombe,245307.269754992
468,Minova,342770.248972363
469,Kalehe,266738.863819158
470,Miti-Murhesa,265958.605176734
471,Idjwi,358506.68261113
472,Aba,191373.003599128
473,Masina II,268593.246037263
474,Kapanga,176364.562285134
475,Dilala,68604.1523005257
476,Mutshatsha,39611.5845705144
477,Kikula,55738.2554603677
478,Kimbi Lulenge,185491.657051442
479,Ferekeni,33635.1017568571
480,Wapinda,79993.5582467696
481,Likasi,435159.563107928
482,Kasenga,158275.84937082
483,Ntandembelo,135248.167250674
484,Yumbi,157950.32014209
485,Tshudi Loto,92898.286049945
486,Kiri,139869.769683832
487,Bosanga,88286.2618411942
488,Yalifafo,142367.827351801
489,Dekese,177566.383068586
490,Mimia,49708.3063767623
491,Makanza,129676.466223267
492,Bomongo,114364.262649527
493,Lolanga Mampoko,65304.3742949414
494,Penjwa,95743.3490170371
495,Bokungu,232882.049801512
496,Wema,125341.67616379
497,Befale,183661.271455495
498,Lotumbe,97243.019644963
499,Monkoto,209462.595315006
500,Djombo,83721.3874219249
501,Bongandanga,100076.292696299
502,Lingomo,187335.071854345
503,Basankusu,224883.950839815
504,Boende,352878.330486924
505,Mompono,105217.417104649
506,Monieka,59440.5852537503
507,Banjow Moke,177449.193111024
508,Inongo,230637.836659249
509,Wangata,241085.915261955
510,Bolenge,66351.3220583808
511,Bolomba,234165.017432663
512,Ingende,150415.401162577
513,Iboko,102724.579061465
514,Irebu,25155.4244975266
515,Mbandaka,237892.145715578
516,Lukolela,209390.396026465
517,Bikoro,174082.897159554
518,Ntondo,66721.5029021176
519,Lilanga Bobangi,26798.9502487833
