,nom,gdp_pc
279,Muetshi,707.985386609123
280,Tshikula,1109.82225718904
281,Dibaya,851.607224473276
282,Kalomba,782.946150968392
283,Tshibala,777.699139554045
284,Mushenge,780.505825264145
285,Bulape,787.628357502473
286,Masuika,735.743926455633
287,Luiza,743.558983552544
288,Katoka,2377.94166309525
289,Ndesha,2329.1460581982
290,Tshikaji,1971.27004779979
291,Bilomba,781.033262386936
292,Ndekesha,780.740583606998
293,Bunkonde,847.110686280615
294,Mikalayi,840.551854613487
295,Luambo,744.717131354078
296,Katende,710.393213551619
297,Ndjoko-Mpunda,675.976232880603
298,Lubondaie,849.768085777087
299,Kakenge,788.47818966165
300,Rwampara,697.056300055818
301,Bunia,731.182260947519
302,Jiba,843
303,Linga,843.84062115725
304,Mangala,843.001319913387
305,Damas,842.390463955419
306,Fataki,843
307,Drodro,843
308,Tchomia,827.967974375353
309,Rethy,858.005428991096
310,Nyakunde,680.348305682651
311,Nizi,838.298544931775
312,Bambu,842.173114651134
313,Kilo,836.584355234625
314,Mongbalu,841.807224285763
315,Komanda,692.631992484888
316,Gethy,693.231148066009
317,Boga,735.189295356439
318,Nia-Nia,651.12527271412
319,Mandima,677.289226070783
320,Lolwa,651.584473033808
321,Lita,808.68255436155
322,Boma-Mangbetu,649.89102344178
323,Isiro,863.345853795892
324,Wamba,657.392113821334
325,Doruma,612.156666145619
326,Pawa,656.036735302731
327,Niangara,675.933170164367
328,Rungu,755.598265557666
329,Mambasa,649.993359343698
330,Rimba,949.912789503221
331,Logo,947.274000697203
332,Angumu,969.068247703106
333,Nyarambe,997.385479403803
334,Mahagi,990.500770602192
335,Makoro,616.317116470557
336,Kambala,950.682302907483
337,Biringi,845.863993423775
338,Laybo,822.944628035603
339,Ariwara,1046.20659950273
340,Adi,896.068088807943
341,Aru,1039.47068626784
342,Adja,835.083008357122
343,Aungba,973.365231905572
344,Faradje,610.1089676467
345,Gombari,496.881730333929
346,Dungu,685.731514236434
347,Watsa,526.541021022985
348,Demba,799.3980270372
349,Mutoto,905.983232063072
350,Lubunga (Kasaï-Central),719.214337929998
351,Kananga,2423.97988400214
352,Maluku II,2574.54769196621
353,Nselo,821.711968373399
354,Lomela,942.902220902331
355,Nioki,670.687877134704
356,Bolobo,1231.54371227449
357,Mushie,732.253544774955
358,Kwamouth,836.660480379268
359,Mokala,724.15258392033
360,Kisanji,799.682010502657
361,Lukonga,2418.907902453
362,Tunda,704.850312768377
363,Bosobolo,830.954778540315
364,Businga,696.735159080836
365,Boto,824.805177086747
366,Lisala,883.779347047971
367,Ndage,673.414614570273
368,Mwela Lembwa,798.65795129838
369,Kingabwa,2316
370,Likati,790.511893805535
371,Yahuma,639.379914719087
372,Ikela,627.809872061149
373,Lubunga (Tshopo),1456.97426057551
374,Ubundu,903.498616611712
375,Kailo,862.973512143683
376,Ototo,838.887954200149
377,Tshumbe,785.583319840158
378,Lusangi,555.429110604859
379,Bobozo,2197.52321556771
380,Punia,676.560475214705
381,Kyondo,885.245276391086
382,Mabalako,889.744851418562
383,Biena,722.759870865364
384,Masereka,729.412627641179
385,Lubero,721.33459646736
386,Manguredjipa,724.698952731902
387,Mutwanga,888.026048832516
388,Kamango,866.027374528541
389,Oicha,1113.14910846856
390,Binza,931.648083293155
391,Rwanguba,996.071277957068
392,Rutshuru,866.033247475589
393,Birambizo,872.751367624836
394,Beni,2206.01748554269
395,Vuhovi,876.968372961578
396,Musienene,744.907514636266
397,Butembo,1813.11072413885
398,Katwa,1647.87606336181
399,Kayna,724.124136265607
400,Goma,1315.87238688906
401,Karisimbi,1628.93897251488
402,Kibua,740.039645993061
403,Masisi,935.186646570263
404,Mweso,917.260042538463
405,Kirotshe,926.356329554612
406,Pinga,720.924731750153
407,Walikale,687.657402802012
408,Kibirizi,838.295433810461
409,Kalunguta,1778.84684100602
410,Alimbongo,720.999577076706
411,Nyiragongo,1901.73916075587
412,Katoyi,932.185209011614
413,Bambo,865.0100620034
414,Itebero,697.923303498331
415,Mwana,1086.4839125143
416,Kaziba,1286.8765272928
417,Nyantende,1363.62802762896
418,Nyangezi,1358.72496930203
419,Kabare,873.030580710645
420,Mubumbano,1332.79266996681
421,Walungu,1243.96160206708
422,Hauts-Plateaux,811.40698894444
423,Kaniola,885.667842278066
