,nom,socioeconomic_inequality
404,Mweso,0.826281192962323
405,Kirotshe,0.711890950485325
406,Pinga,0.842234583207702
407,Walikale,0.798492548390007
408,Kibirizi,0.838379307895523
409,Kalunguta,0.80218939564061
410,Alimbongo,0.838141930868623
411,Nyiragongo,0.607923590932321
412,Katoyi,0.752581348864
413,Bambo,0.835548451121875
414,Itebero,0.794350301332358
415,Mwana,0.591288949546721
416,Kaziba,0.562196809392336
417,Nyantende,0.535740483499396
418,Nyangezi,0.505874673608389
419,Kabare,0.574136816009558
420,Mubumbano,0.587482583739163
421,Walungu,0.584406352319594
422,Hauts-Plateaux,0.550010879184179
423,Kaniola,0.598666660326171
424,Kalonge,0.597107370177302
425,Bunyakiri,0.684585460762166
426,Uvira,0.554507366100501
427,Kitutu,0.607894820646534
428,Kamituga,0.607953656055019
429,Itombwe,0.606768379818126
430,Minembwe,0.602660342393742
431,Nundu,0.60890372610104
432,Ruzizi,0.498336948828951
433,Lemera,0.496500311701361
434,Fizi,0.646903706848615
435,Shabunda,0.592165456451369
436,Lulingu,0.58731895371969
437,Kalole,0.58230417946271
438,Mwenga,0.60235534691388
439,Mulungu,0.608206985580654
440,Bagira,0.552726048929358
441,Kadutu,0.54507994903136
442,Ibanda,0.535714865917036
443,Katana,0.56536278862616
444,Lualaba,0.694428242727427
445,Kafakumba,0.695410870473354
446,Kanzenze,0.69582076558741
447,Kasaji,0.691279127488616
448,Dilolo,0.658893152371838
449,Sandoa,0.693513006098718
450,Kalamba,0.7016219089494
451,Lubudi,0.6973993186071
452,Bunkeya,0.710133143842324
453,Fungurume,0.701549900021349
454,Kambove,0.7195971538245
455,Lubumbashi,0.699793515245836
456,Kisanga,0.677106930760697
457,Katuba,0.693404800859635
458,Mumbunda,0.689032195725426
459,Kipushi,0.687142631316
460,Sakania,0.656156859850012
461,Kafubu,0.720180412667909
462,Kilela Balanda,0.7108129138957
463,Manika,0.710094411768365
464,Vangu,0.704034928763588
465,Kowe,0.700966725708183
466,Mitwaba,0.725197923555799
467,Gombe,0.549391804639328
468,Minova,0.639514376791174
469,Kalehe,0.625643174388161
470,Miti-Murhesa,0.544283852428367
471,Idjwi,0.505487889239493
472,Aba,0.587699224768603
473,Masina II,0.594429980440134
474,Kapanga,0.66988747606428
475,Dilala,0.693405962447553
476,Mutshatsha,0.689061836054074
477,Kikula,0.724534122609935
478,Kimbi Lulenge,0.588359910503933
479,Ferekeni,0.55873048353697
480,Wapinda,0.312999995613005
481,Likasi,0.723425079357904
482,Kasenga,0.698160149565744
483,Ntandembelo,0.484422100499
484,Yumbi,0.400546667573318
485,Tshudi Loto,0.211999997496605
486,Kiri,0.505578241449541
487,Bosanga,0.21200112929533
488,Yalifafo,0.212001404975293
489,Dekese,0.452842731264106
490,Mimia,0.533260240348103
491,Makanza,0.329072320970663
