,nom,socioeconomic_deprivation
65,Tshela,0.617499139134389
66,Vaku,0.758447229980425
67,Kizu,0.707571786868337
68,Kibunzi,0.852080909589367
69,Luozi,0.857483506525863
70,Kimpangu,0.788482301832907
71,Ngidinga,0.854808278825032
72,Boko-Kivulu,0.797302310589239
73,Mbanza-Ngungu,0.794596606001544
74,Kwilu-Ngongo,0.799739218980551
75,Kisantu,0.793862898295026
76,Mikope,0.877306579142555
77,Oshwe,0.879273744341579
78,Bosobe,0.882000029087068
79,Bokoro,0.881550081140145
80,Masi-Manimba,0.882000029087064
81,Yasa-Bonga,0.882000029087066
82,Idiofa,0.880972119931041
83,Ipamu,0.882000029087067
84,Koshibanda,0.881732535659703
85,Kingandu,0.871798457862778
86,Bulungu,0.881594707328637
87,Bagata,0.874455883115722
88,Bandundu,0.811674767390172
89,Kajiji,0.853653580350507
90,Kikwit-Nord,0.861900454215086
91,Lusanga,0.866353045914331
92,Feshi,0.88139070539659
93,Wamba Lwadi,0.876867732884968
94,Panzi,0.881534066615503
95,Tembo,0.717752309589403
96,Moanza,0.878180219907102
97,Kimbau,0.882000029087065
98,Kenge,0.881990474865452
99,Boko,0.880732288121705
100,Viadana,0.882000029087067
101,Poko,0.882000029087067
102,Basali,0.876093004847313
103,Basoko,0.840035135030115
104,Bengamisa,0.84431832005832
105,Yakusu,0.878011697517618
106,Yahisuli,0.882000029087067
107,Yabaondo,0.878648648429309
108,Isangi,0.881870311533325
109,Yaleko,0.880639017143243
110,Banalia,0.881985328029928
111,Bafwasende,0.873533072500863
112,Bafwagbogbo,0.882000010981792
113,Buta,0.882000029087067
114,Titule,0.882000029087067
115,Ganga,0.882000029087069
116,Vanga,0.881998007397642
117,Djuma,0.882000029087064
118,Sia,0.882000029087066
119,Mungindu,0.86440212994863
120,Kimputu,0.882000029087063
121,Mosango,0.881848052832862
122,Pay Kongila,0.871306005706368
123,Matadi,0.731788121909134
124,Nzanza,0.739287379203497
125,Ndjili,0.721109915158334
126,Mont Ngafula I,0.712863978433341
127,Biyela,0.739249861518329
128,Kikimi,0.746365749224258
129,Lemba,0.705294172395985
130,Matete,0.709882173771567
131,Kisenso,0.71537422569843
132,Lingwala,0.676737747599127
133,Barumbu,0.682185586954488
134,Kinshasa,0.678934357561441
135,Limete,0.695781956804408
136,Kalamu II,0.686912697283563
137,Kalamu I,0.691036472682574
138,Bumbu,0.6887742242113
139,Makala,0.695762782906132
140,Ngaba,0.699484832273568
141,Bandalungwa,0.677008499783365
142,Selembao,0.694739351952497
143,Masina I,0.727911857289573
144,Kintambo,0.673470026028843
145,Kasa-Vubu,0.683495031899794
146,Ngiri-Ngiri,0.685690432565209
147,Binza Meteo,0.682126314535743
148,Binza Ozone,0.671272413511623
149,Kikongo,0.880283182398248
150,Mont Ngafula II,0.692111163100202
151,Sona-Bata,0.801846473845516
152,Nsele,0.746189344824299
153,Kanzala,0.831073279300552
154,Tshikapa,0.834341909701553
155,Kingasani,0.731584988677379
156,Kimbanseke,0.729461641249885
157,Bwamanda,0.880446307348919
158,Kungu,0.87641739922432
159,Loko,0.881433870292105
160,Bangabola,0.882000029087064
