,nom,urban_fraction
363,Bosobolo,0.00028470478108124
364,Businga,0.000327698221710059
365,Boto,0.00104171250620145
366,Lisala,0.00225010783196699
367,Ndage,0.000444566365211699
368,Mwela Lembwa,2.667339447576e-05
369,Kingabwa,0.61885393045583
370,Likati,0.000253629152515695
371,Yahuma,6.8749038749227e-05
372,Ikela,2.06116215704752e-05
373,Lubunga (Tshopo),0.00108498911554126
374,Ubundu,0.000132466548309343
375,Kailo,0.000108291704666559
376,Ototo,0.00149165393065275
377,Tshumbe,0
378,Lusangi,0.000424976234255422
379,Bobozo,0
380,Punia,0.000419431627907922
381,Kyondo,0.00823482035913013
382,Mabalako,0.00815484344885743
383,Biena,0.000707499772928018
384,Masereka,0.00292708594209874
385,Lubero,0.0026338995717138
386,Manguredjipa,8.53329179970446e-05
387,Mutwanga,0.00587146308315944
388,Kamango,0.000850357752199091
389,Oicha,0.0130381835092082
390,Binza,0.0045635550500682
391,Rwanguba,0.00231011062558339
392,Rutshuru,0.0088405942035853
393,Birambizo,0.00260154319005017
394,Beni,0.801903319863421
395,Vuhovi,0.00120054765039502
396,Musienene,0.000416217769871352
397,Butembo,0.20452335363114
398,Katwa,0.42966358025789
399,Kayna,0.00308734461699162
400,Goma,0.547723525974116
401,Karisimbi,0.420263417076607
402,Kibua,0.000131693182413392
403,Masisi,0.0015026343320461
404,Mweso,0.00130010181257983
405,Kirotshe,0.00559527555465242
406,Pinga,4.12420760012589e-05
407,Walikale,0.000236057918581272
408,Kibirizi,0.0211905711892103
409,Kalunguta,0.0140392498866224
410,Alimbongo,0.00127328329395856
411,Nyiragongo,0.00453194846842828
412,Katoyi,0.000810106848108103
413,Bambo,0.000859202870982569
414,Itebero,5.72929201239225e-05
415,Mwana,0.00406144063698396
416,Kaziba,0
417,Nyantende,0.00560877374826188
418,Nyangezi,0.0141237033823408
419,Kabare,2.03916667530708e-05
420,Mubumbano,0.000281913710938954
421,Walungu,0.000288558836005106
422,Hauts-Plateaux,0
423,Kaniola,0
424,Kalonge,0
425,Bunyakiri,0
426,Uvira,0.0240066495745598
427,Kitutu,0.00163277790962934
428,Kamituga,0.00185697875309554
429,Itombwe,0
430,Minembwe,0
431,Nundu,0
432,Ruzizi,0.00939223449131185
433,Lemera,0.0279223175248205
434,Fizi,0.00107103641132006
435,Shabunda,0.00104634615483939
436,Lulingu,0.000217994117994243
437,Kalole,0.000132645931878661
438,Mwenga,0
439,Mulungu,0
440,Bagira,0.115227515283034
441,Kadutu,0.526076779102209
442,Ibanda,0.539084056029163
443,Katana,0.0116060160508448
444,Lualaba,0.0144206626395564
445,Kafakumba,0.000467566044818034
446,Kanzenze,2.51665782671246e-05
447,Kasaji,0.000873743174726015
448,Dilolo,0.000675910240780226
449,Sandoa,0.000651608001082971
450,Kalamba,0.0006649532620145
451,Lubudi,0.00026919200411871
452,Bunkeya,0.000574800101049261
453,Fungurume,0.00690489813517067
454,Kambove,0.00457355374360368
455,Lubumbashi,0.390063951635008
456,Kisanga,0
457,Katuba,0
458,Mumbunda,0
459,Kipushi,0.0156608238859426
460,Sakania,0.0020231413608608
461,Kafubu,0.00200063329948854
462,Kilela Balanda,0
463,Manika,2.56274541511614e-05
464,Vangu,1
465,Kowe,1
466,Mitwaba,0.000352428930700944
467,Gombe,0.947546530216866
468,Minova,0.0031333886773148
469,Kalehe,0.000241431892773244
470,Miti-Murhesa,0.000725794536545511
471,Idjwi,0.000146711272647963
472,Aba,0.000406196826442179
473,Masina II,0.312223844345121
474,Kapanga,0.000767192054442648
475,Dilala,0.000784182714370902
476,Mutshatsha,5.80087157841939e-05
477,Kikula,0.000534693259073343
478,Kimbi Lulenge,0.00137101117150344
479,Ferekeni,0
480,Wapinda,0.00120949964845703
481,Likasi,0.208254566281148
482,Kasenga,0.000651242641621983
483,Ntandembelo,0.00166842653810849
484,Yumbi,0.00695297164012281
485,Tshudi Loto,0
486,Kiri,0.00021935014573184
487,Bosanga,6.82516682571611e-05
488,Yalifafo,0.000201132471549392
489,Dekese,0.000136757806876221
490,Mimia,5.74968858629999e-05
491,Makanza,0.00060704065170095
492,Bomongo,0.000326701544813027
493,Lolanga Mampoko,0
494,Penjwa,2.1012150414294e-05
495,Bokungu,0.000121726466388283
496,Wema,2.38569744173113e-05
497,Befale,7.37571538689142e-06
498,Lotumbe,9.02114808988092e-06
499,Monkoto,1.33038896415754e-05
500,Djombo,0.000129077294168526
501,Bongandanga,5.16896918319511e-05
502,Lingomo,1.15442748403316e-05
503,Basankusu,0.000503171034168861
